Enalloporidae	Bock 1999	Lavrenteva 1985
Fenestellidae	Bock 1999	King 1849
Fenestraliidae	Bock 1999	Morozova 1963
Phylloporinidae	Bock 1999	Ulrich 1890
Polyporidae	Bock 1999	Vine 1880
Ralfinidae	Bock 1999	Lavrenteva 1985
Sardesoninidae	Bock 1999	Lavrenteva 1985
Septatoporidae	Bock 1999	Engel 1975
Septoporidae	Bock 1999	Morozova 1962
Escharoporidae	Bock 1999	Karklins 1983
Intraporidae	Bock 1999	Simpson 1897
Phragmopheridae	Bock 1999	Gorjunova 1969
Rhinidictyidae	Bock 1999	Ulrich 1893
Stictoporellidae	Bock 1999	Nickles & Bassler 1900
Virgatellidae	Bock 1999	Astrova 1965
Arthrostylidae	Bock 1999	Ulrich, 1882
Rhabdomesidae	Bock 1999	Vine 1884
Rhomboporidae	Bock 1999	Simpson 1895
Bactroporidae	Bock 1999	Simpson, 1897
Nikiforovellidae	Bock 1999	Goryunova 1974
Pseudoascoporidae	Bock 1999	Goryunova 1985
Hyphasmoporidae	Bock 1999	Vine 1885
Streblascoporidae	Bock 1999	Goryunova 1985
Timanodictyidae	Bock 1999	Morozova 1966
Murengoloclemidae	Bock 1999	Gorjunova 1994
Goldfussitrypidae	Bock 1999	Goryunova 1985
Maychellidae	Bock 1999	Goryunova 1985
Mediaporidae	Bock 1999	Goryunova 1985
Nicklesoporidae	Bock 1999	Yang, Huz & Xia 1988
Nudymiellidae	Bock 1999	Gorjunova 1985
Nudymiellidae	Bock 1999	Goryunova 1985
Nematoporidae	Bock 1999	Goryunova 1985
Nematotrypidae	Bock 1999	Spjeldnaes 1984
Ceramoporidae	Bock 1999	Ulrich, 1882
Acanthoceramoporellidae	Bock 1999	Pushkin 2002
Rhinoporidae	Bock 1999	Miller 1889
Anolotichiidae	Bock 1999	Utgaard, 1968
Xenotrypidae	Bock 1999	Utgaard 1983
Fistuliporidae	Bock 1999	Ulrich 1882
Botrylloporidae	Bock 1999	Miller, 1889
Actinotrypidae	Bock 1999	Simpson 1895
Hexagonellidae	Bock 1999	Bassler 1952
Cystodictyonidae	Bock 1999	Ulrich 1884
Etherellidae	Bock 1999	Crockford 1957
Goniocladiidae	Bock 1999	Nikiforova 1938
Cerioporidae	Reuss 1866	Bronn 1849
Cinctiporidae	Boardman, Taylor & McKinney 1992	Boardman, McKinney & Taylor 1992
Corymboporidae	Smitt 1866	Smitt, 1867
Crisiidae	Johnston 1838	Johnston 1838 sec. DeFelice & Eldredge 2004
Crisinidae	d'Orbigny 1853	d'Orbigny 1853 sec. DeFelice & Eldredge 2004
Crisuliporidae	Buge 1979	Buge 1979 sec. DeFelice & Eldredge 2004
Diaperoeciidae	Canu 1918	Canu 1918 sec. DeFelice & Eldredge 2004
Diastoporidae	Gregory 1899	Busk, 1859
Frondiporidae	Busk 1875	Busk, 1859
Horneridae	Smitt 1867	Smitt 1866
Lichenoporidae	Smitt 1867	Smitt 1866 sec. DeFelice & Eldredge 2004
Lichenoporidae	Smitt 1867	Smitt, 1866
Mecynoeciidae	Canu 1918	Canu 1918 sec. DeFelice & Eldredge 2004
Oncousoeciidae	Canu 1918	Canu 1918 sec. DeFelice & Eldredge 2004
Semiceidae	Buge 1952	Bassler 1952
Terviidae	Canu & Bassler 1920	Canu & Bassler 1920 sec. DeFelice & Eldredge 2004
Tubuliporidae	Johnston 1838	Blainville 1834
Flustrellidroidea	Bassler 1953	d'Hondt 1974
Valkerioidea	Silén 1942	Silen 1942
Alcyonidiidae	Johnston 1838	Johnston 1836
Bathyalozoontidae	d'Hondt 1975	d'Hondt 1974
Immergentiidae	Silén 1946	Silen 1946
Immergentiidae	Silén 1946	Silen 1946 sec. DeFelice & Eldredge 2004
Immergentiidae	Silén 1946	Sil�n, 1946
Immergentiidae	Silén 1946	Sil�n 1946
Labiostomellidae	Silén 1942	Silen 1944
Monobryozoontidae	Remane 1936	R�mane 1936
Penetrantiidae	Silén 1946	Silen 1946 sec. DeFelice & Eldredge 2004
Penetrantiidae	Silén 1946	Silen, 1946
Penetrantiidae	Silén 1946	Sil�n 1946
Pherusellidae	Osburn & Soule 1953	Soule 1953
Vesiculariidae	Hincks 1880	Johnston 1838 sec. DeFelice & Eldredge 2004
Vesiculariidae	Hincks 1880	Johnston, 1838
Didymoselloidea	Brown 1952	d'Hondt 1985
Euthyriselloidea	Bassler 1953	d'Hondt 1985
Mamilloporoidea	Canu & Bassler 1927	Canu and Bassler, 1927
Membraniporoidea	Busk 1854	Busk, 1852
Pseudolepralioidea	Silén 1942	Gordon 1993
Aeteidae	Smitt 1868	Smitt 1867 sec. DeFelice & Eldredge 2004
Aeteidae	Smitt 1868	Smitt, 1867
Antroporidae	Vigneaux 1949	Vigneaux 1940
Arachnopusiidae	Jullien 1888	Busk, 1884
Ascosiidae	Jullien 1883	Jullien, 1882
Batoporidae	Neviani 1901	Neviani 1900
Beaniidae	Canu & Bassler 1927	Canu & Brassler 1927
Beaniidae	Canu & Bassler 1927	Canu & Brassler 1927 sec. DeFelice & Eldredge 2004
Beaniidae	Canu & Bassler 1927	Canu and Bassler, 1927
Brydonellidae	Unknown 2007	Taylor, Casadio & Gordon 2008
Bryocryptellidae	Vigneaux 1949	Vigneaux 1940
Buffonellodidae	Gordon & d'Hondt 1997	Gordon and d'Hondt, 1997
Bugulidae	Gray 1848	Gray 1848 sec. DeFelice & Eldredge 2004
Calescharidae	Cook & Bock 2001	Bock & Cook, 1998
Calloporidae	Norman 1903	Ulrich 1890
Calwelliidae	MacGillivray 1887	Macgillivray, 1887
Cellariidae	Fleming 1828	Lamouroux, 1821
Celleporidae	Johnston 1838	Lamouroux, 1821
Cheiloporinidae	Bassler 1936	Bassler 1936 sec. DeFelice & Eldredge 2004
Chorizoporidae	Vigneaux 1949	Vigneaux 1940
Cleidochasmatidae	Cheetham & Sandberg 1964	Cheetham & Sandberg 1964 sec. DeFelice & Eldredge 2004
Cleidochasmatidae	Cheetham & Sandberg 1964	Cheetham and Sandberg, 1964
Crepidacanthidae	Levinsen 1909	Levinsen 1909 sec. DeFelice & Eldredge 2004
Cryptosulidae	Vigneaux 1949	Vigneaux 1940
Echinovadomidae	Tilbrook 2001	Tilbrook, Hayward & Gordon 2001
Eucrateidae	Hincks 1880	Johnston 1847
Exechonellidae	Harmer 1957	Harmer 1957 sec. DeFelice & Eldredge 2004
Flustridae	Fleming 1828	Lamouroux, 1821
Hippaliosinidae	Gordon & Winston 2005	Winston 2005
Hippopodinidae	Levinsen 1909	Levinsen 1909 sec. DeFelice & Eldredge 2004
Inversiulidae	Vigneaux 1949	Vigneaux 1940
Jubellidae	Unknown 2007	Reverter-Gil & Fern�ndez-Pulpeiro, 2001
Lacernidae	Jullien 1888	Julien 1888
Onychocellidae	Jullien 1882	Jullien 1881
Orbituliporidae	Astrova 1978	Canu & Bassler 1923
Pasytheidae	Davis 1934	Davis 1934 sec. DeFelice & Eldredge 2004
Petraliellidae	Harmer 1957	Harmer 1957 sec. DeFelice & Eldredge 2004
Phidoloporidae	Gabb & Horn 1862	Gabb and Horn, 1862
Phoceanidae	Vigneaux 1949	Vigneaux 1940
Phorioppniidae	Gabb & Horn 1862	Gordon & d'Hondt 1997
Porinidae	d'Orbigny 1852	D'orbigny, 1852
Pseudolepraliidae	Silén 1942	Silen 1944
Savignyellidae	Levinsen 1909	Levinsen 1909 sec. DeFelice & Eldredge 2004
Schizoporellidae	Jullien 1883	Jullien, 1882
Scrupariidae	Busk 1852	Gray 1848
Smittinidae	Levinsen 1909	Levinsen 1909 sec. DeFelice & Eldredge 2004
Stomachetosellidae	Canu & Bassler 1917	Canu and Bassler, 1917
Tessaradomidae	Jullien 1903	Jullien & Calvet, 1903
Tetraplariidae	Harmer 1957	Harmer 1957 sec. DeFelice & Eldredge 2004
Thalamoporellidae	Levinsen 1902	Levinsen 1902 sec. DeFelice & Eldredge 2004
Trypostegidae	Gordon, Tilbrook & Winston 2005	Gordon, Tilbrook & Winston in Winston 2005
Watersiporidae	Vigneaux 1949	Vigneaux 1940
Membraniporidae	Busk 1854	Busk, 1852
Lepraliellidae	Vigneaux 1949	Vigneaux 1940
Alcyonidium	Lamouroux 1813	Linnaeus, 1742
Allonema	Ulrich & Bassler 1904	Ulrich 1904
Anguinella	van Beneden 1845	Van Beneden, 1844
Arachnoidea	Moore 1903	(Arachnoidea) Moore 1903
Arachnoidea	Moore 1903	J. Moore, 1903
Arachnoidella	d'Hondt 1983	D''Hondt, 1983
Ascodictyon	Nicholson & Etheridge 1877	Nicholson & Etheridge, 1877)
Avenella	Dalyell 1847	(Bluff & Fingerh.) Drejer, 1837
Bathyalozoon	d'Hondt 1975	d'Hondt 1974
Benedenipora	Pergens 1887	Pergens 1880
Bockiella	Silén 1942	Silen 1942
Bulbella	Braem 1951	V. S. Maljavkina, 1949
Condranema	Bassler 1953	Bassler 1952
Crassicaula	Kubanin 1992	Baranova 1992
Fischerella	Pohowsky 1978	(Bornet & Flahault) Gomont, 1895
Fischerella	Pohowsky 1978	(Bornet et Flahault) Gomont, 1895
Flustrellidra	Bassler 1952	(Flustrellidra) Bassler 1953
Flustrellidra	Bassler 1952	Bassler, 1953
Huxleya	Dyster 1858	Clapar�de & Lachmann 1858
Immergentia	Silén 1946	Silen, 1946
Immergentia	Silén 1946	Sil�n 1946
Labiostomella	Silén 1942	Sil�n 1942
Lobiancopora	Pergens 1889	Pergens 1888
Metalcyonidium	d'Hondt 1975	d'Hondt 1974
Monobryozoon	Remane 1936	R�mane 1936
Neoflustrellidra	d'Hondt 1975	d'Hondt 1974
Penetrantia	Silén 1946	(Silen 1946)
Penetrantia	Silén 1946	Sil�n 1946
Protobenedenipora	d'Hondt & Schopf 1985	d'Hondt & Schope 1985
Pseudalcyonidium	d'Hondt 1975	d'Hondt 1974
Simplicidium	Todd, Taylor & Favorskaya 1997	Todd et al 1997
Terebripora	d'Orbigny 1847	d'Orbigny [1842]
Triticella	Dalyell 1848	Dalyell, 1847
Vesicularia	Thompson 1830	P. A. Micheli ex G. Targioni-Tozzetti, 1826
Victorella	Saville Kent 1870	Kent 1870
Walkeria	Fleming 1823	Miller ex Ehret, 1764
Zoobotryon	Ehrenberg 1831	Ehrenberg 1828
Zoobotryon	Ehrenberg 1831	Ehrenberg 1831 (pls. 1828)
Acanthophragma	Hayward 1993	Haywa 1993
Acoscinopleura	Voigt  1956	Voigt 1956
Adeona	Lamouroux 1812	J. V. Lamouroux, 1812
Adeonellopsis	MacGillivray 1886	Mac Gillivray, 1886
Adeonellopsis	MacGillivray 1886	Macgillivray, 1886
Ahcheethamia	Gordon & Braga 1994	Gord & Braga 1994
Allantocallopora	d'Hondt & Schopf 1984	d'Hondt & Schope 1985
Alysidium	Busk 1852	Kunze 1816
Anoteropora	Canu & Bassler 1927	Canu & Lecointre 1925
Apiophragma	Hayward & Ryland 1993	Haywa & Ryla 1993
Aplousina	Canu & Bassler 1927	Canu & Lecointre 1925
Arctonula	Gordon & Grischenko 1994	Gord & Grischen 1994
Arctonula	Gordon & Grischenko 1994	Gordon & Grischenkochen 1994
Aspericreta	Hayward & Thorpe 1990	Hayward & Thorpe 1989
Aspidelectra	Levinsen 1909	(Levinsen 1909)
Austroflustra	López Gappa 1982	Lopez Gappa 1982
Austroflustra	López Gappa 1982	L�pez Gappa, 1982
Austroflustra	López Gappa 1982	L�pez Gappa 1982
Aviculiera	Zágoršek 2001	Zagorsek 2001
Babickella	Zágoršek 2003	Zagorsek 2003
Bactridium	Reuss 1848	Kunze 1817
Batoporella	Héjjas 1894	H�jjas 1894
Beisselinopsis	Voigt  1951	Voigt 1951
Berthelsenia	Voigt  1989	Voigt 1988
Biaviculigera	Voigt  1989	Voigt 1989
Bicupularia	Reuss 1864	Reuss 1865
Bifissurinella	Poignant & Ubaldo 1974	Poignant & De Lonrdes Ubaldo 1973
Bifissurinella	Poignant & Ubaldo 1974	Poignant & de Lourdes Ubaldo 1973
Bifissurinella	Poignant & Ubaldo 1974	Poignant & Ubaldo 1973
Bobinella	d'Hondt 1981	Andreeva 1968
Brettia	Dyster 1858	Oyster 1858
Brettiopsis	López Gappa 1986	Lopez Gappa 1986
Brettiopsis	López Gappa 1986	L�pez Gappa 1986
Bryochaperia	Zágoršek 2001	Zagorsek 2001
Bryorachis	Gordon & Arnold 1997	Gordon & Arnold 1998
Bryosartor	Gordon & Braga 1994	Gord & Braga 1994
Bubnoffiella	Voigt  1959	Voigt 1959
Buchneria	Harmer 1957	Verhoeff, 1941
Buffonellaria	Canu & Bassler 1927	Canu & Bassler, 1917
Buffonellaria	Canu & Bassler 1927	Canu and Basler, 1917
Bugula	Oken 1815	P. Miller, 1754
Caleschara	MacGillivray 1880	Macgillivray, 1880
Calvina	Willems 1972	O'Donoghue 1922
Calwellia	Thomson 1858	Wyville Thomson, 1858
Camptoplites	Harmer 1923	Harmes 1923
Canupora	Kühn 1930	Kuehn 1930
Castanoporina	Voigt  1993	Voigt 1993
Cellaria	Ellis & Solander 1786	Ellis and Solander, 1786
Cellarinella	Waters 1904	Waters 1903
Cellarinelloides	Moyano 1970	Moyano G. 1970
Celleporina	Gray 1848	Gray 1845
Ceratopora	von Hagenow 1851	v. Hagenow 1851
Chaperia	Jullien 1881	Munier-Chalmas 1873
Characodoma	Maplestone 1900	Maple 1900
Chartella	Gray 1848	J. E. Gray, 1848
Chiastosella	Canu & Bassler 1934	Bassler 1934
Chiastosella	Canu & Bassler 1934	Canu and Bassler, 1934
Chorizopora	Hincks 1880	Hincks, 1879
Cigclisula	Canu & Bassler 1927	Canu & Lecointre 1925
Cillia	Kühn 1954	K�hn 1954
Cleidochasmidra	Ünsal & d'Hondt 1979	Unsal & D''Hondt, 1979
Cleidochasmidra	Ünsal & d'Hondt 1979	Unsal & d'Hondt 1979
Coleopora	Canu & Bassler 1927	Canu & Lecointre 1925
Collura	Jullien 1882	Jullien [1882]
Cornuticella	Canu & Bassler 1927	Canu & Lecointre 1925
Corynostylus	Canu & Bassler 1919	Canu and Bassler, 1919
Costatimorpha	Zágoršek 2003	Zagorsek 2003
Crassimarginatella	Canu 1900	(Crassimarginatella) Canu 1900
Crassimarginatella	Canu 1900	(Valdemunitella) Canu 1900
Craticulacella	Voigt  1994	Voigt 1994
Crepis	Jullien 1882	Linnaeus, 1753
Cribella	Jullien in Jullien & Calvet 1903	Agassiz 1837
Cribella	Jullien in Jullien & Calvet 1903	Forbes, 1841 non L. Agassiz, 1837
Cribralaria	Silén 1941	Silen 1941
Cribrilina	Gray 1848	J.E. Gray, 1848
Crucescharellina	Silén 1947	Silen 1947
Crucescharellina	Silén 1947	Sil�n, 1947
Cryptostomaria	Canu & Bassler 1927	Canu & Lecointre 1925
Cuneiforma	d'Hondt & Schopf 1984	d'Hondt & Schope 1985
Cupuladria	Canu & Bassler 1919	Canu and Bassler, 1919
Curvacella	Labracherie 1970	Labracherie 1969
Cyclocolposa	Canu & Bassler 1923	Canu & Bassler 1920
Cycloperiella	Canu & Bassler 1923	Canu & Bassler 1920
Cycloperiella	Canu & Bassler 1923	Canu and Bassler, 1920
Cyclostomella	Ortmann 1890	Ortmann 1889
Cymulopora	Winston & Håkansson 1986	Winston & Hakansson 1986
Dacryoporella	Bassler 1934	Bassler 1935
Dendrobeania	d'Hondt & Gordon 1996	Levinsen, 1909
Dendroperistoma	Moyano 1986	Moyano 1984
Dennisia	Hara 2001	Norman 1861
Dermatopora	von Hagenow 1851	Hagenow 1851
Dimetopia	Busk 1852	A. P. de Candolle, 1830
Dimorphocellaria	Voigt  1930	Voigt 1930
Dimorphostylus	Voigt  1928	Voigt 1928
Diplobeisselina	Voigt  1987	Voigt 1987
Discoflustrellaria	d'Orbigny 1853	d'Orbigny 1852
Discovibracella	Voigt  1964	Voigt 1964
Distansescharella	d'Orbigny 1853	d'Orbigny 1852
Drepanophora	Harmer 1957	Strobl 1880
Dubiocellaria	d'Hondt & Schopf 1984	d'Hondt & Schope 1985
Duvergieria	Vigneaux 1949	Vigneaux 1940
Dysnoetocella	Voigt  1964	Voigt 1964
Echinovadoma	Tilbrook 2000	Tilbrook, Hayward & Gordon 2001
Electra	Lamouroux 1816	Panz., 1813
Electra	Lamouroux 1816	Panzer, 1813
Entomaria	Canu & Duvergier 1921	Canu 1921
Entomaria	Canu & Duvergier 1921	Duvergier, 1921
Eoscrupocellaria	Voigt  1991	Voigt 1991
Erinella	Canu & Bassler 1927	Qu�l. 1886
Erinella	Canu & Bassler 1927	Qu�let, 1886
Escharicellaria	Voigt  1924	Voigt 1924
Escharina	Milne Edwards 1836	Edwards, 1836
Escharina	Milne Edwards 1836	Milne-Edwards, 1836
Escharoides	Milne Edwards 1836	Edwards, 1836
Escharoides	Milne Edwards 1836	Milne-Edwards, 1836
Eucratea	Lamouroux 1812	Pergens [non Lamouroux 1812] 1887
Euginoma	Jullien 1883	Jullien 1882
Exostesia	Brown 1948	Keable 1948
Farciminellopsis	Silén 1941	Silen 1942
Fedorella	Silén 1947	Silen 1947
Filaguria	Moyano 1991	Moy 1991
Filaguria	Moyano 1991	Moyano G. 1991
Filiflustrina	d'Orbigny 1853	d'Orbigny 1852
Fissuricella	Voigt  1959	Voigt 1959
Flabellopora	d'Orbigny 1852	d'Orbigny 1851
Floridina	Jullien 1882	Jullien 1881
Floridinella	Canu & Bassler 1917	Canu and Bassler 1917
Flustramorpha	Gray 1848	Gray 1872
Flustrapora	Moyano 1970	Moyano G 1970
Flustrellaria	d'Orbigny 1853	d'Orbigny 1852
Foveolaria	Busk 1884	Ruiz & Pavon 1794
Foveolaria	Busk 1884	Ruiz et Pavon, 1794
Galeopsis	Jullien in Jullien & Calvet 1903	Linnaeus, 1753
Gaudryanella	Canu 1907	Canu 1900
Gemelliporella	Canu & Bassler 1919	Canu and Bassler, 1919
Gemelliporidra	Canu & Bassler 1927	Canu & Bassler 1925
Geminella	Szczechura 1994	P.J.F. Turpin 1828
Geminella	Szczechura 1994	Turpin, 1828
Gordoniella	Zágoršek 2001	H. Itono, 1977
Gordoniella	Zágoršek 2001	Itono 1977
Gregarinidra	Barroso 1949	Barroso, 1948
Haplopoma	Levinsen 1909	Levinsen 1902
Haplopoma	Levinsen 1909	Levinson 1902
Haplota	Marcus 1940	Dunning & Pickard 1859
Harpago	Gordon 1989	M�rch 1852
Heliodoma	Calvet 1907	Calvet 1906
Helixotionella	Cook & Chimonides 1984	Cook et al 1984
Hemicosciniopsis	Vigneaux 1949	Vigneaux 1940
Hemiphylactella	Vigneaux 1949	Vigneaux 1940
Hemismittoidea	Soule & Soule 1973	Soule and Soule, 1973
Hemistylus	Voigt  1928	Bentham, 1843
Heteractis	Gabb & Horn 1862	A. P. de Candolle, 1838
Heteroconopeum	Voigt  1983	Voigt 1983
Heterooecium	Hincks 1892	Hinks 1892
Hiantopora	MacGillivray 1887	Macgillivray, 1887
Himantozoumella	d'Hondt & Schopf 1984	d'Hondt & Schope 1985
Hincksinoflustra	Bobin & Prenant 1961	(Bobin & Prant 1961)
Hippolyrula	Vigneaux 1949	Vigneaux 1940
Hippomenella	Canu & Bassler 1917	Canu and Bassler, 1917
Hippomonavella	Canu & Bassler 1934	Bassler 1934
Hippomonavella	Canu & Bassler 1934	Canu and Bassler, 1934
Hippophylactella	Vigneaux 1949	Vigneaux 1940
Hippopleurifera	Canu & Bassler 1925	Canu & Lecointre 1925
Hippoporella	Canu 1917	Levinsen 1917
Hippoporidra	Canu & Bassler 1927	Canu & Lecointre 1925
Hipposera	Vigneaux 1949	Vigneaux 1940
Hippotrema	Canu & Bassler 1927	Canu & Lecointre 1925
Hoplitaechmella	Voigt  1949	Voigt 1949
Ijimaia	Gordon & d'Hondt 1997	Sauter 1905 sec. Eschmeyer 1998
Ijimaia	Gordon & d'Hondt 1997	Sauter 1905 sec. Eschmeyer 2004
Ijimaia	Gordon & d'Hondt 1997	Sauter 1905 sec. Howell Rivero 1935
Ijimaia	Gordon & d'Hondt 1997	Sauter 1905 sec. Mundy 2005
Ijimaia	Gordon & d'Hondt 1997	Sauter 1905 sec. Roule 1922
Ijimaia	Gordon & d'Hondt 1997	Sauter, 1905
Inversaria	von Hagenow 1851	v. Hagenow 1850
Inversaria	von Hagenow 1851	von Hagenow 1850
Jaculina	Jullien in Jullien & Calvet 1903	Jullien & Calvet, 1903
Jaculina	Jullien in Jullien & Calvet 1903	Jullien in Jullien and Calvet, 1903
Jellyella	Taylor & Monks 1996	Paul D. Taylor and Neale Monks, 1997
Jellyella	Taylor & Monks 1996	Taylor & Monks 1997
Keratostoma	Voigt  1987	Voigt 1987
Kinetoskias	Daniellsen 1868	Danielssen, 1868
Kladapheles	Gordon 1993	Gord 1993
Klugeflustra	Moyano 1972	Moyano G. 1972
Klugerella	Moyano 1991	Moy 1991
Klugerella	Moyano 1991	Moyano G. 1991
Kunradina	Voigt  1981	Voigt 1981
Lagenicella	Cheetham & Sandberg 1964	Cheetham and Sandberg, 1964
Lamourouxia	d'Hondt & Gordon 1999	C. A. Agardh, 1817
Lamourouxia	d'Hondt & Gordon 1999	C. Agardh 1817
Lanceopora	d'Orbigny 1851	d'Orbigny 1852
Larvapora	Moyano 1970	Moyano G., 1970
Lateroflustrella	d'Orbigny 1853	d'Orbigny 1852
Lateroflustrellaria	d'Orbigny 1853	d'Orbigny 1852
Laterotecatia	Voigt  1979	Voigt 1979
Leieschara	Sars 1863	M. Sars, 1863
Leiosella	Canu & Bassler 1917	Lendenfeld, 1888
Lepralina	Kuhn 1925	Kuehn 1925
Lunularia	Busk 1884	Adanson, 1763
Lunulites	Lamarck 1816	Lamarck 1812
Macropora	MacGillivray 1895	Macgillivray, 1895
Macroporella	Uttley 1949	J. von Pia, 1912
Macroporella	Uttley 1949	Pia 1912
Malakosaria	Goldstein 1882	Goldstein 1881
Malleatia	Jullien in Jullien & Calvet 1903	Jullien & Calvet 1903
Marginaria	Römer 1841	Bory de St.-Vincent, 1824
Marguetta	Jullien in Jullien & Calvet 1903	Jullien & Calvet 1903
Matyashegyella	Zágoršek 2001	Zagorsek 2001
Melicerita	Edwards 1836	Milne Edwards 1836
Melicerita	Edwards 1836	Milne-Edwards 1836
Membranicellaria	Levinsen 1909	Levinsen 1902
Membranipora	de Blainville 1830	Blainville, 1830
Mesostomaria	Canu & Bassler 1927	Canu and Bassler, 1927
Metacleidochasma	Soule et al. 1991	Soule, Soule & Chaney 1991
Metroperiella	Canu & Bassler 1917	Canu and Bassler, 1917
Micropora	Gray 1848	Grau 1848
Micropora	Gray 1848	J.E. Gray, 1848
Mixtopelta	Gordon 1994	Gord 1994
Mollia	Lamouroux 1816	J. F. Gmelin, 1791
Monticellaria	Voigt  1987	Voigt 1987
Multescharipora	d'Orbigny 1853	d'Orbigny 1852
Mumiella	Jullien 1888	Jullien 1886
Mychoplectra	Gordon & Parker 1991	Gordon and Parker, 1991
Myriapora	de Blainville 1830	Blainville, 1830
Nematoflustra	Moyano 1972	Moyano G. 1972
Neoflustra	López Gappa 1982	Lopez Gappa 1982
Celleporella	Moyano 1986	(Celleporella) Gray 1848
Celleporella	Moyano 1986	Gray, 1848
Nimba	Jullien in Jullien & Calvet 1903	Jullien & Calvet 1903
Nimba	Jullien in Jullien & Calvet 1903	Jullien, 1903
Nimbella	Jullien in Jullien & Calvet 1903	Jullien & Calvet 1903
Nudonychocella	Voigt  1985	Voigt & Ernst 1985
Odontoporella	Héjjas 1894	H�jjas 1894
Odontoporella	Héjjas 1894	Hejjas, 1894
Odontoporella	Héjjas 1894	H�jjas 1894
Ogiva	Jullien 1882	Jullien 1881
Ogivalia	Jullien 1882	Jullien 1881
Omalosecosa	Canu & Bassler 1925	Canu and Bassler, 1925
Onchoporoides	Ortmann 1890	Ortmann (1889)
Onychocella	Jullien 1882	Jullien, 1881
Onychocellaria	Voigt  1957	Voigt 1957
Opaeomorpha	Zágoršek 2001	Zagorsek 2001
Opaeophora	Brown 1948	Keable 1948
Orbitulipora	Stolickza 1862	Stoliczka 1862
Orthoscuticella	Wass & Yoo 1976	Wass & Yoo 1974
Osthimosia	Jullien 1888	Jullien 1882
Otiochmella	Zágoršek 2003	Zagorsek 2003
Otionella	Canu & Bassler 1917	Canu et al 1917
Ovaticella	Maplestone 1900	Maplestone, 1901
Paracellaria	Moyano 1969	Moyano G. 1969
Paracribricellina	Wass & Yoo 1976	Wass & Yoo 1974
Parafigularia	Moyano 1984	Moyano G. 1984
Parkermavella	Gordon & d'Hondt 1997	Gordon and d'Hondt, 1997
Pavobeisselina	Voigt  1964	Voigt 1964
Pentapora	Fischer 1807	Fis cher 1807
Pentapora	Fischer 1807	Fisher, 1807
Petraliella	Canu & Bassler 1927	Canu & Lecointre 1925
Phidolopora	Gabb & Horn 1862	Gabb and Horn, 1862
Phoceana	Jullien in Jullien & Calvet 1903	Jullien & Calvet 1903
Platychelyna	Hayward & Thorpe 1990	Hayward 1990
Plesiocleidochasma	Soule et al. 1991	Soule, Soule & Chaney 1991
Plesiothoa	Gordon & Hastings 1979	Gordon and Hastings, 1979
Pleurocodonellina	Soule & Soule 1973	Soule and Soule, 1973
Pleurolyrula	Vigneaux 1949	Vigneaux 1940
Pleuroschizella	Canu 1918	Canu 1919
Pnictoporopsis	Voigt  1975	Voigt 1975
