# ID
#   Unknown id number
# NUMBER
#   Unknown number
ID	AUTHOR	YEAR	TEXT	TITLE	NUMBER	PAGES
5027	X. Liu and S. Wang	1987	Late Carboniferous and Early Permian Bryozoa from Xainza, northern Xizang (Tibet) [in Chinese]	Professional Papers of Stratigraphy and Palaeontology	18	1-31
5028	X. Liu and H. Liu	1999	Systematic position of Mucronella perforata Okada et Mawatari 1937	Chinese Journal Of Oceanology And Limnology	17	338-343
5029	X. Liu and C. Li	1987	Six new species of bryozoans from the waters of Hong Kong and the Zhu Jiang Estuary  [in Chinese]	J. Oceanogr, Taiwan Strait	6	53-68
5030	X. Liu and Y. Hu	1991	On the cheilostome bryozoans from the northwest waters off the Antarctic Peninsula	STUDIA MARINA SINICA No	32	7-160
5031	X. Liu	1992	On the genus Membranipora (Anasca: Cheilostomata: Bryozoa) from south Chinese seas	Raffles Bulletin of Zoology	40	103-144
5032	X. Liu	1990	Three new cheilostome bryozoans from the coasts of Shandong and Zhejiang Provinces [in Chinese]	Studia Marina Sinica	31	121-128
5033	X. Liu	1987	Ordovician bryozoans from Da Hingan Ling in northeast China [in Chinese]	Professional Papers Of Stratigraphy And Palaeontology	17	197-213
5034	X. Liu	1985	On genus Caulibugula Verrill, 1900, collected from the Chinese seas [in Chinese with English summary]	Studia Marina Sinica	11	127-151
5035	X. Liu	1984	On species of family Bicellariellidae (Bryozoa) from the Chinese seas  [in Chinese]	Studia Marina Sinica	22	255-314
5036	X. Liu	1984	On the species of family Scrupocellariidae collected from Chinese seas [in Chinese]	Studia Marina Sinica	23	257-308
5037	X. Liu	1983	On three species of genus Ellisina (Bryozoa) from the continental shelf of the east China Sea  [in Chinese]	Oceanologia Et Limnologia Sinica	14	169-172
5038	X. Liu	1982	Notes on Chinese Bryozoa of the family Flustridae	Acta Zootaxonomica Sinica	7	130-138
5039	X. Liu	1982	Two new species and one first record of genus Crassimarginatella from the East China Sea [in Chinese with English summary]	Oceanologia Et Limnologia Sinica	13	289-292
5040	X. Liu	1982	New species and new records of genera Antropora and Beania (Anasca, Bryozoa) from China coasts [in Chinese with English summary]	Oceanologia Et Limnologia Sinica	13	97-101
5041	X. Liu	1982	A new species of the genus Kinetoskias Damiellsen collected from the continental shelf of the East China Sea [in Chinese with English summary]	Studia Marina Sinica	19	75-80
5042	X. Liu	1980	Two new species of Scrupocellaria (Scrupocellariidae, Anasca) from Xisha Islands, Guangdong Province, China [in Chinese]	Studia Marina Sinica	17	179-187
5043	H. Liu, X. Liu and S. Sun	2003	Seven new species of genus Microporella and Fenestrulina collected from the cultured shell and their floating cages in Chinese waters	Studia Marina Sinica	45	202-222
5044	S. Liszka	1974	Bicornifera n.gen. Lindenberg (1965) in the Polish flysch Carpathians	Ann. Soc. Géol. Pologne	44	31-35
5045	J. J. Lister	1834	Some observations on the structure and functions of tubular and cellular polypi af Ascidiæ	Philosophical Transactions of the  Royal Society of London	124	383-388
5046	D. V. Lisitsyn and A. Ernst	2004	Revision of the Palaeozoic Bryozoan genera Synocladia and Thamniscus [in Russian]	Paleontologicheskii Zhurnal	2004	53-59
5047	D. V. Lisitsyn	1998	The first Permian find of the genus Hederella (Bryozoa) [in Russian]	Paleontologicheskii Zhurnal	1998	43-45
5048	D. V. Lisitsyn	1991	New bryozoans from the Permian of northern Cisuralia [in Russian]	Paleontologicheskii Zhurnal	1991	69-76
5049	D. V. Lisitsyn	1986	New species of bryozoan from the Permian of Pechora Basin	Paleontological Journal	1986	45-52
5050	D. V. Lisitsyn	1986	New species of bryozoans from Permian of Pechora Basin [in Russian]	Paleontologicheskii Zhurnal	1986	49-55
5051	D. Lisbjerg and J. K. Petersen	2001	Feeding activity. retention efficiency, and effects of temperature and particle concentration on clearance rate in the marine bryozoan Electra crustulenta	Marine Ecology Progress Series	215	133-141
5052	D. Lisbjerg and J. K. Petersen	2000	Clearance capacity of Electra bellula (Bryozoa) in seagrass meadows of Western Australia	Journal of Experimental Marine Biology and Ecology	244	285-296
5053	B.-C. Lisandro	2000	Predicting Direct and Indirect Interactions During Succession In A  Mid-littoral Rocky Shore Assemblage	Ecological Monographs	70	45-72
5054	F. Lippi Boncambi, L. Nicoletti and C. Chimenz	1997	Quante species di Hippopodinella Barroso 1924 (Bryozoa, Cheilostomida) esistono en Mediterraneo?	Biologia Marina Mediterranea	4	401-404
5055	Y. Lipkin and U. Safriel	1971	Intertidal zonation on rocky shores at Mikhmoret (Mediterranean, Israel)	Journal Ecol.	59	1-30
5056	O. A. Lipina	1990	A new name for the Uralian Lower Carboniferous genus Cribrella Lipina 1989 (Foraminiferida)	Journal Of Paleontology	64	664
5057	T. A. Link	1928	A new species of Fistulipora	Journal of Paleontology	1	268-270
5058	K. J. Lindstedt	1971	Chemical control of feeding behavior.	Comp. Biochem. Physiol.	39A	553-581
5059	W. J. Lindberg and G. R. Stanton	1989	Resource quality, dispersion and mating prospects for crabs occupying bryozoan colonies	Journal Of Experimental Marine Biology And Ecology	128	257-282
5060	W. J. Lindberg and G. Stanton	1988	Bryozoan-associated decapod crustaceans: community patterns and a case of cleaning symbiosis between a shrimp and crab	Bulletin Of Marine Science	42	411-423
5061	W. J. Lindberg and R. B. Frydenborg	1980	Resource centred agonism of Pilumnus sayi (Brachyura, Xanthidae), an associate of the bryozoan Schizophorella pungens	Behaviour	75	235-250
5062	W. J. Lindberg and R. B. Frydenborg	1980	Resource centered agonism of Pilumnus sayi (Brachyura, Xanthidae), and associate of the Bryozoan XVI. Bryozoa	Behavior	75	85-92
5063	W. J. Lindberg	1980	Patterns of resource use within a population of xanthid crabs occupying bryozoan colonies	Oecologia	46	338-342
5064	W. J. Lindberg	1980	Behavior of a xanthid crab occupying bryozoan colonies, and patterns of resource use with reference to mating systems	Dissertation Abstracts International B Sciences And Engineering	41	786
5065	X. Lin and W.-X. Wang	2001	Model studies on total synthesis of the chartellines, spirocyclic beta-lactam alkaloids from a marine bryozoan	Tetrahedron Letters	42	2631-2633
5066	G. E. Lim and M. G. Haygood	2003	Molecular phylogeny of the bacterial symbionts in the bryozoan genus Bugula	Abstracts of the General Meeting of the American Society for Microbiology	103	1-231
5067	H. W. Lienau and U. Marheinecke	1989	Ein besonderes Fossil	Palaeontologische Zeitschrift	63	161-162
5068	A. Liebus	1940	Kritische Uebersicht der Mikrofauna des Burdigals vom Jaklowitz bei Mähr.-Ostrau.	Lotos, Prag	87	3-43
5069	S. Lidgard, F. K. McKinney and P. D. Taylor	1993	Competition, clade replacement, and a history of cyclostome and cheilostome bryozoan diversity	Paleobiology	19	352-371
5070	S. Lidgard and J. B. C. Jackson	1989	Growth in encrusting cheilostome bryozoans: 1. Evolutionary trends	Paleobiology	15	255-282
5071	S. Lidgard and J. B. C. Jackson	1982	How to be an abundant encrusting bryozoan	Abstracts with programs Geological Society of America	14	547
5072	S. Lidgard and P. R. Crane	1990	Angiosperm diversification and Cretaceous floristic trends: a comparison of palynofloras and leaf macrofloras	Palaeontology	16	77-93
5073	S. Lidgard and P. R. Crane	1988	Quantitative analyses of the early angiosperm radiation	Nature	331	344-346
5074	S. Lidgard	1990	Growth in encrusting cheilostome bryozoans: II. Circum-Atlantic distribution patterns	Paleobiology	16	304-321
5075	S. Lidgard	1986	Ontogeny in animal colonies: a persistent trend in the bryozoan fossil record	Science	232	230-232
5076	S. Lidgard	1985	Zooid and colony growth in encrusting cheilostome bryozoans	Palaeontology	28	255-291
5077	W. D. Liddell and C. E. Brett	1982	Skeletal overgrowths among epizoans from the Silurian (Wenlockian) Waldron Shale	Paleobiology	8	67-78
5078	V. Lichtschein de Bastida and R. Bastida	1980	Los briozoos de las comunidades incrustantes de puertos Argentinos	INTERNATIONAL CONGRESS ON MARINE CORROSION AND FOULING No	5	371-390
5079	R. Lichtenberg	1972	Hydrobiologische Untersuchungen an einem südlich von Wien gelegenen Ziegelteich (Hallateich)	Sitzungberichte öst Akad Wiss. (Abt. 1)	180	279-316
5080	Z. Liang, Y. Huang, S. Yibao, S. Zhao and T. Zhou	1987	Late Carboniferous and Early Permian cephalopods, gastropods, bryozoans, conodonts and trilobites from Longlin, Guangxi	BULLETIN OF THE YICHANG INSTITUTE OF GEOLOGY AND MINERAL RESOURCES No	11	285-336
5081	Z. P. Li	1990	Bryozoaires de Montbrison-Fontbonau (Drome) et comparison avec les autres faunes Miocenes du bassin Rhodanien meridional	NOUVELLES ARCHIVES DU MUSEUM D'HISTOIRE NATURELLE DE LYON No	27	1-126
5082	Z. Li, S. Pouyet and L. David	1988	Bryozoaires du Pater Noster (Indonesie, Pacifique Ouest)	Vie Et Milieu	38	237-244
5083	S. q. Li	1985	Some bryozoans from the Maokou Formation in western Jiangxi	Acta Palaeontologica Sinica	24	212-215
5084	S. Li	1992	Bryozoa [in Chinese]	China Ministry Of Geology And Mineral Resources Geological Memoirs Series	1	162-171
5085	C. Y. Li	1988	Bryozoan fouling along the coast of Huanghai and Bohai, China [in Chinese]	Acta Ecologica Sinica	8	170-175
5086	C. Li, Z. Huang, L. Zhang, F. Li and C. Zheng	1982	On the marine fouling and boring organisms of Zhejiang southern coast. 2. Ecological studies on marine fouling and boring organisms in Dongtou Island	Acta Oceanologica Sinica	4	95-102
5087	J. R. Lewis	1957	Intertidal Communities of the Northern and Western Coasts of Scotland	Trans. R. Soc. Edinb.	63	185-220
5088	J. S. Levinton and R. K. Babach	1970	Some ecological aspects of bivalve mortality patterns.	American Journal of Science	268	97-112
5089	G. M. R. Levinsen	1925	Undersøgelser över Bryozoeerne i den Danske Kridtformation Efter Forfattersen Død vdg. af Dr K. B. Nielsen og Dr T. Mortensen.	Oversigt over det kgl. Danske Videnskabernes Selskabs Forhandlinger	7	283-445
5090	G. M. R. Levinsen	1916	Danmark-Ekspeditionen til Grønlands Nordstkyst 1906-1908. Bind. III, nr 16, Bryozoa	Meddelelser om Grønland	43	431-472
5091	G. M. R. Levinsen	1916	XVI. Bryozoa	Danmark-Ekspeditionen fil Grönlands Nordöstkyst, 1906-1908	3	435-472
5092	G. M. R. Levinsen	1914	Conspectus Faunae Groenlandicae. Bryozoa, Endoprocta, Pterobranchia of enteropneusta	Meddelelser om Grønland	23	545-634
5093	G. M. R. Levinsen	1907	Sur la regeneration total des bryozoaires	Oversigt over det kgl. Danske Videnskabernes Selskabs Forhandlinger	4	151-159
5094	G. M. R. Levinsen	1902	Studies on Bryozoa	Videnskabelige Meddelelser fra Dansk naturhistorisk Forening i Kjøbenhavn	54	1-31
5095	S. M. Lev, M. M. Key, Jr. and A. Lighthart	1993	A paleobiologic test for diastems using the internal stratigraphy of trepostome bryozoans	Journal Of The Pennsylvania Academy Of Science	67	32-37
5096	A. J. J. Leuterman	1980	The taxonomy and systematics of the gymnolaemate and stenolaemate Bryozoa of the northwest Gulf of Mexico	Dissertation Abstracts International B Sciences And Engineering	40	3536
5097	D. Leung Tack Kit	1972	Etude d'un milieu pollue: le Vieux-Port de Marseille. Influence des conditions physiques et chimiques sur la physionomie du peuplement de quai	Tethys	3	767-826
5098	H. L. Lescinsky	1993	Taphonomy and paleoecology of epibionts on the scallops Chlamys hastata (Sowerby 1843) and Chlamys rubida (Hinds 1845)	Palaios	8	267-277
5099	J. Lepersonne	1974	La collection paleontologique du Musee Royal de I'Afrique Centrale	Rapport a. Sect. geol. Miner. Paleont. Mus. Royal Afr. Cent.	1974	97-102
5100	M. Lenzi and P. Micarelli	1989	Variazioni nella struttura trofica dell'ecosistema lagunare di Orbetello (GR)	Quaderni Del Museo Di Storia Naturale Di Livorno	10	9-17
5101	H. Lemche and C. Nielsen	1972	Comments on the proposal to place Calopora Hall, 1851 (Bryozoa) on the official list. Z.N.(S.) 1915	Bulletin of zoological Nomenclature	29	107
5102	H. Lemche	1963	the roigin of the Bryozoa Phylactolaemata	Videnskabelige Meddelelser fra Dansk naturhistorisk Forening i Kjøbenhavn	125	171-193
5103	J. Leloux	1998	Bryozoen: Bryozoa	Grondboor en Hamer	52	128
5104	J. Leidy	1855	Contributions toward a knowledge of the marine invertebrate fauna, of the coast of Rhode Island and New Jersey	Journal of the Academy of Natural Sciences, Philadelphia	3 (ser. 2)	135-152
5105	J. J. Leichter and J. D. Witman	1997	Water flow over subtidal rock walls: relation to distributions and growth rates of sessile suspension feeders in the Gulf of Maine	Journal of Experimental Marine Biology and Ecology	209	293-307
5106	M. Lefevre	1950	Amphanizomenon gracile Lemm. Cyanophyte défavorable au zooplacton.	Ann. Sta. Cent.-Hydriobiol. Appl.	3	205-208
5107	S. Lefevere, E. Leloup and L. v. Meel	1956	Observations biologiques dans le Port d'Ostende	Mém. Inst. Sci. nat. Belg.	133	1-157
5108	A. Lees and A. T. Buller	1972	Modern temperate-water and warm-water shelf carbonate sediments contrasted	Marine Geology	13	67-73
5109	S. W. Lee and L. B. Trott	1973	Marine succession of fouling organisms in Hong Kong, with a comparison of woody substrates and common, locally-available, antifouling paints	Marine Biology (Berlin)	20	101-108
5110	R. F. Lee, J. C. Nevenzel, G.-A. Paffenhöefer and A. A. Benson	1970	The metabolism of wax esters and other lipids by the marine copepod, Calanus hegulanduus	Journal of Lipid Research	11	237-240
5111	R. F. Lee, J. C. Nevenzel and G.-A. Paffenhöefer	1971	Importance of wax esters and other lipids in the marine food chain: phytoplankton and copepods.	Mari. Biol.	9	99-108
5112	N. K. Lee, W. Fenical and N. Lindquist	1997	Alternatamides A-D: new bromotryptamine peptide antibiotics from the Atlantic marine bryozoan Amathia alternata	Journal of Natural Products	60	697-699
5113	G. W. Lee	1912	The British Carboniferous Trepostomata	Mem geol Surv UK	1	135-195
5114	D. E. Lee, J. Scholz and D. P. Gordon	1997	Paleoecology of a Late Eocene mobile rockground from North Otago, New Zealand	Palaios	12	568-581
5115	M. Lecompte	1970	Die Riffe im Devon der Ardennen und ihre Bildungsbedingungen	Geologica et Palaeontologica	4	25-71
5116	L. Leca and J.-L. d'Hondt	1993	Hippopetraliella tahitiensis n.sp., nouveau Bryozoaire Cheilostome (Petraliellidae) de Polynésie française	Cahiers de Biologie Marine	34	401-409
5117	A. R. LeBlanc, T. Landry and G. Miron	2003	Identification of fouling organisms covering mussel lines and impact of a common defouling method on the abundance of foulers in Tracadie Bay, Prince Edward Island	Canadian Technical Report of Fisheries and Aquatic Sciences	No. 2477	1-18
5118	E. M. Lebedev, Y. E. Permitin and N. I. Karajeva	1963	On the question of fouling of plates in the Black Sea	Trud. Inst. Okeanol. Moskva	70	270-275
5119	W. Leathem, P. Kinner, D. Maurer, R. Biggs and W. Treasure	1973	Effect of spoil disposal on benthic invertebrates	Marine Pollut. Bull.	4	122-125
5120	R. L. Leary	1971	Catalog of Paleozoic paleozoological type and figured specimens at the Illinois State Museum	Trans. Ill. St. Acad. Sci.	64	254-259
5121	M. D. B. Leal, O. R. Gil, E. F. Pulpeiro and F. Ramil	1993	Bryozoaires sublittoraux de la ria de Vigo (Espagne norde-occidentale)	Annales de l'Institut océanographique, Monaco	69	249-259
5122	D. le Maitre	1952	La faune du Devonien inferieur et moyen de la Saoura et des abords de l'Erg el Djemel (sud-oranais)	Materiaux Pour la Carte Geologique de l'Algerie Paleontologie	12	1-170
5123	K. T. H. Layerspetz and D. I.	1966	Temperature acclimation of the ciliary activity in the gills of Anodonta	Comp. Biochem. Physiol.	17	665-671
5124	V. D. Lavrent'yeva	1988	New Upper Ordovician Phylloporinids (Bryozoa) from Estonia	Paleont. zhur.	22	96-100
5125	V. D. Lavrentjeva	2001	New bryozoan species of the Family Atactotoechidae from the Devonian of Transcaucasia [in Russian]	Paleontologicheskii Zhurnal	2001	45-49
5126	V. D. Lavrentjeva	1997	New bifoliate bryozoans of the order Trepostomida [in Russian]	Paleontologicheskii Zhurnal	1997	22-26
5127	V. D. Lavrentjeva	1996	Development and distribution of bryozoans in the Ordovician of the East-European Platform [in Russian]	Paleontologicheskii Zhurnal	1996	52-66
5128	V. D. Lavrentjeva	1991	New bryozoan species of the order Cryptostomida [in Russian]	Paleontologicheskii Zhurnal	1991	124-127
5129	V. D. Lavrentjeva	1990	New genus of cryptostomid (Cryptostomida) [in Russian]	Paleontologicheskii Zhurnal	1990	127-130
5130	V. D. Lavrentjeva	1988	New Upper Ordovician Phylloporinina (Bryozoa) of Estonia [in Russian]	Paleontologicheskii Zhurnal	1988	100-103
5131	V. D. Lavrentjeva	1985	Bryozoans of the suborder Phylloporina [in Russian]	Trudy Paleontologischeskogo Instituta Akademiya Nauk SSSR	214	1-102
5132	V. D. Lavrentjeva	1980	Phylloporinina, a new suborder of Paleozoic Bryozoa	Paleontological Journal	13	56-64
5133	V. D. Lavrenteva	1985	[Upper Devonian bryozoans of the Trans-Caucasus.]	Izvestiya Vysshikh Uchebnykh Zavedenii Geologiya I Razvedka	8	12-18
5134	V. D. Lavrenteva	1985	[Bryozoans of the suborder Phylloporinina.]	Trudy Paleontologicheskogo Instituta Akademiya Nauk Sssr	214	1-98
5135	C. Lavoie and S. Payette	1995	Analyse macrofossile d'une palse subarctique (Quebec nordique)	Canadian Journal Of Botany	73	527-537
5136	M. S. Laverack and M. Blackler	1974	Fauna and flora of St. Andrews Bay	Scottish Academic Press, Edinburgh & London		1-310
5137	O. Lauritzen	1974	New microfossils from the Silurian (Llandovery, Stage 6) of the Oslo region, Norway	Palaeontology	17	707-714
5138	T. E. Lauer, D. K. Barnes, A. Ricciardi and A. Spacie	1999	Evidence of recruitment inhibition of zebra mussels (Dreissena polymorpha) by a freshwater bryozoan (Lophopodella carteri)	Journal of the North American Benthological Society	18	406-413
5139	L. Laubier	1969	Les fonds coralligènes de Méditerranée formations roucheuses sous-marines construites par des algues calcaires	Sci. Progress, Paris		168-174
5140	L. Laubier	1959	Contribution à la faunistique du Coralligène. III. Deux Spionidiens inquilins sur des bryozoaires Chilostomides	Vie et Milieu	10	347-349
5141	Lasher and Giese	1954	Digestion in sea urchins	Biological Bulletin	126	308
5142	C. F. Laseron	1918	Notes on some Permo-Carboniferous Fenestellidae, with descriptions of new species	Journal of the Royal Society of New South Wales	52	181-202
5143	Z. Lasemi, R. D. Norby and J. D. Treworgy	1998	Depositional facies and sequence stratigraphy of a Lower Carboniferous bryozoan-crinoidal carbonate ramp in the Illinois Basin, Mid-Continent USA	Geological Society of London Special Publication	149	369-395
5144	G. P. Larwood and M. B. Abbott	1979	Advances in bryozoology	Systematics Association Special		1-639
5145	G. P. Larwood	1969	Frontal calcification and its function in some Cretaceous and Recent cribrimorph and other cheilostome Bryozoa	Bulletin of the British Museum (Natural History), Zoology	18	171-192
5146	G. P. Larwood	1968	Frontal wall structures of Cretaceous and Recent Cribrimorpha and other cheilostoma Bryozoa (Preliminary report)	Atti della Società Italiana di Scienze Naturali e del Museo Civico di Storia Naturale di Milano	108	97-100
5147	G. P. Larwood	1962	The morphology and systematics of some Cretaceous cribrimorph Polyzoa (Pelmatoporinae)	Bulletin of the British Museum (Natural History) (Geology)	6	1-285
5148	P. S. Larsen and H. U. Riisgård	2002	On ciliary sieving and pumping in bryozoans	Journal of Sea Research	48	181-195
5149	P. S. Larsen and H. U. Riisgård	2001	Chimney spacing in encrusting bryozoan colonies (Membranipora membranacea): video observations and hydrodynamic modelling	Ophelia	54	167-176
5150	P. S. Larsen, S. S. Matlok and H. U. Riisgard	1998	Bryozoan filter feeding in laminar wall layers: flume experiments and computer simulation	Vie et Milieu	48	309-319
5151	N. Lanza Suarez and E. Fernandez Pulpeiro	1984	Briozoos infralitorales de Galicia: Queilostomados	Investigacion Pesquera	48	269-284
5152	E. R. Lankester	1930	Obituary. Sir Edwin Ray Lankester	Proceedings of the Linnean Society of London	Session 142	200-211
5153	W. Langer	1991	Beitrage zu Mikropaläontologie des Devons im Rheinischen Schiefergebirge	Geologisches Jahbuch	128	35-65
5154	W. Langer	1980	Über Lagenosypho Spandel (Bryozoa) und einige andere karbonatische Microfossilien aus dem westdeutschen Devon	Münstersche Forschungen zur Geologie und Paläontologie	52	97-118
5155	F. Langenstrassen	1972	Fazies and Stratigraphie der Eifel-Stufe im östlichen Sauerland (Rheinisches Schiefergebirge, B1. Schmallenberg and Girkhausen)	Göttinger Arb. Geol. Paläont.	No. 12	1-106
5156	R. Lange and A. Mostad	1967	Cell volume regulation in osmotically adjucting marine animals	J. Exp. Mar. Biol. Ecol.	1	209-219
5157	W. D. Lang	1929	Form in fossils	Proc. Geol. Soc. London	39	429-444
5158	W. D. Lang	1925	Persistence in fossils	Proc. Geol. Assoc. London	36	227-238
5159	W. D. Lang	1919	The Kelestominae	Quarterly journal of the geological society (London)	74	204-220
5160	W. D. Lang	1919	The Pelmatoporinae, an essay on the evolution of a group of Cretaceous Polyzoa	Philosophical transactions of the Royal Society of London	Series B 209	191-228
5161	W. D. Lang	1919	Old age and extinction in fossils	Proc. Geol. Assoc. London	30	102-113
5162	W. D. Lang	1917	On some new Cenomanian and Turonian Polyzoa	Geological Magazine	(Dec.6) 4	256-258
5163	W. D. Lang	1917	The genotypes of some polyzoan genera	Geological Magazine	(Dec.6) 4	169-174
5164	W. D. Lang	1916	A revision of the 'Cribrimorph' Cretaceous Polyzoa	Annals and Magazine of Natural History	18	381-410
5165	W. D. Lang	1916	A revision of the 'Cribrimorph' Cretaceous Polyzoa	Annals and Magazine of Natural History	18	81-112
5166	W. D. Lang	1916	Calcium carbonate and evolution in Polyzoa	Geological Magazine	(Dec.6) 3	73-77
5167	W. D. Lang	1916	Calcium carbonate and evolution	Geol. Mag.	3	73-76
5168	W. D. Lang	1915	On some new uniserial Cretaceous cheilostome Bryozoa	Geological Magazine	(Dec.6) 2	496-504
5169	W. D. Lang	1914	Some new genera and species of Cretaceous cheilostome Polyzoa	Geological Magazine	(Dec.6) 1	436-444
5170	W. D. Lang	1914	On Herpetopora, a new genus containing three new species of Cretaceous cheilostome Polyzoa	Geological Magazine	(Dec.6) 1	5-8
5171	W. D. Lang	1908	Polyzoa and Anthozoa from the Upper Cretaceous limestone of Need's Camp, Buffalo River	Annals of the South African Museum	7	1-11
5172	W. D. Lang	1907	The Evolution of Stomatopora dichotomoides (d'Orbigny)	Geological Magazine	(dec. 5)	20-24
5173	W. D. Lang	1907	A tabular view of the Cretaceous Polyzoa of the Family Idmoniidae	Geological Magazine	(Dec.5) 4	122-132
5174	W. D. Lang	1906	A key to the published figures of the Cretaceous forms of the Polyzoan genus Entalophora	Geological Magazine	(Dec.5) 3	462-427
5175	W. D. Lang	1906	The reptant Eleid Bryozoa	Geological Magazine	(Dec.5) 3	60-69
5176	W. D. Lang	1905	On Stomatopora antique Haime, and its related Liassic forms	Geological Magazine	(Dec. 5) 2	258-268
5177	N. G. Lane	1973	Paleontology and paleoecology of the Crawfordsville fossil site (Upper Osagian; Indiana)	University Calif. Publs geol. Sci.	99	1-141
5178	N. H. Landman, W. B. Saunders, J. E. Winston and P. J. Harries	1987	Incidence and kinds of epizoans on the shells of live Nautilus	TOPICS IN GEOBIOLOGY No	6	163-177
5179	J. V. F. Lamouroux	1813	Essai sur les genres de la famille des Thalassiophytes non articulées	Annales du Muséum National d'Histoire Naturelle, Paris	20	21-47,116-139,267-293
5180	J. V. F. Lamouroux	1812	Extrait d'un mémoire sur la classification des Polypiers coralligènes non entièrement pierreux	Nouveau Bulletin scientifique de la Société Philosophique	3	181-188
5181	W. J. Lambert, C. D. Todd and J. D. Hardege	1997	Partial characterization and biological activity of a metamorphic inducer of the dorid nudibranch Adalaria proxima (Gastropoda: Nudibranchia)	Invertebrate Biology	116	71-81
5182	W. J. Lambert, P. S. Levin and J. Berman	1992	Changes in the structure of a New England (USA) kelp bed: the effects of an introduced species?	Marine Ecology Progress Series	88	303-307
5183	I. F. Lambert and A. Lambert	1978	An illustrated list of the marine animals which inhabit the inter-tidal region of Umdoni Park, Natal south coast	STRANDLOPER No	188	3-5
5184	N. Lamarti-Sefian, S. Pouyet, K. el Hajjaji, J. P. Andre and A. Ben Moussa	1998	Les bryozoarites du Miocene superieur du bassin de Charf el Akab (Maroc nord occidental): sedimentologie et paleoenvironnements	Annales de l'Universite de Provence Geologie Mediterraneenne	24	161-173
5185	N. Lamarti Sefian, S. Pouyet, K. El Hajjaji, J. P. Andre and A. Ben Moussa	1997	The Upper Miocene bryozoarites of Charf el Akab (NW of Morocco) and their sedimentary environments	Annales de l'Universite de Provence Geologie Mediterraneenne	24	161-173
5186	G. Lakatos	1995	Animals associated with reeds. Zootecton	Studia Naturalia	8	27-35
5187	F. Lagardere and J. Tardy	1980	Un facies d'epifaune nouveau: le facies a Ectopleura dumortieri (van Beneden) et Electra pilosa (Linne) faune associee, cartographie et evolution saisonniere	Cahiers De Biologie Marine	21	265-278
5188	R. Lagaaij and K. F. P. H. W.	1964	Typical features of a fluviomarine offlap sequence	Devs. Sedimentol.	1	216-226
5189	R. Lagaaij and Y. V. Gautier	1965	Bryozoan assemblages from marine sediments of the Rhone delta, France	Micropaleontology	11	39-58
5190	R. Lagaaij	1974	Crisia and Crisidia (Bryozoa Cyclostmata) from the Upper Maastrichtian near Maastricht	Bryozoa 1974: Docum. Lab Géol. Fac. Sci. Lyon	H. S. 3	583-594
5191	R. Lagaaij	1969	Paleocene Bryozoa from a boring in Surinam	Geologie en Mijnbouw	48	165-175
5192	R. Lagaaij	1968	First fossil finds of six genera of Bryozoa Cheilostomata	Atti della Società Italiana di Scienze Naturali e del Museo Civico di Storia Naturale di Milano	108	345-360
5193	R. Lagaaij	1968	Fossil Bryozoa reveal long-distance sand transport along the Dutch coast	Proceedings of the Koninklijke Nederlandse Akademi van Wetenschappen, Amsterdam, Series B	71	31-50
5194	R. Lagaaij	1963	Cupuladria canariensis (Busk) - portrait of a bryozoan	Palaeontology	6	172-217
5195	R. Lagaaij	1963	New additions to the bryozoan fauna of the Gulf of Mexico	Institute of Marine Science, Texas, Publication	9	181-236
5196	R. Lagaaij	1959	Some species of new Bryozoa to the Bowden Beds, Jamaica, B.W.I.	Micropaleontology	5	482-486
5197	R. Lagaaij	1953	The vertical distribution of the lunuliiform Bryozoa in the Tertiary of the Netherlands	Mededelingen van de Geologische Stichting	7	13-19
5198	R. Lagaaij	1952	The Pliocene Bryozoa of the Low Countries and their bearing on the marine stratigraphy of the North Sea region	Mededelingen van de Geologische Stichting	5	6-233
5199	F. Ladewig	1900	Ueber die Knospung der ektoprokten Bryozoen	Zeitschrift für wissenschaften; Zoologie	67	323-339
5200	A. W. Lacourt	1982	[Discovery of Bryozoa on the beach.]	Zeepaard	42	190-191
5201	A. W. Lacourt	1978	The marine Bryozoa of the Netherlands [in Dutch]	Wetenschappelijke Mededelingen K. ned. natuurh. Veren	129	1-21
5202	A. W. Lacourt	1949	Bryozoa of the Netherlands	Archives Neerlandaises de Zoologie	8	289-321
5203	H. d. Lacaze-Duthiers	1902	Obiturary. Henri de Lacaze-Duthiers	Year-book of the Royal Society	No. 6	1-5
5204	M. Labracherie and H. Prud'Homme	1967	Observations paléoécologiques sur les bryozoaires des formations clasiques du Blayais	Act. Soc. linn. Bordeaux (B.)	104	3-11
5205	M. Labracherie	1975	Sur quelques bryozoaires de l'Eocene inferieur nord-aquitain	Revista Española de Micropaleontología	7	127-164
5206	M. Labracherie	1975	Descriptions des bryozoaires Cheilostomes d'age Eocene inferieur du Site 246 (croisiere 25, Deep Sea Drilling Project)	Bulletin de l'Institut de Géologie du Bassin Aquitaine	18	149-202
5207	M. Labracherie	1974	Étude biostratigraphique des gisements d'Escornebéou (Aquitaine méridionale, France). Bryozoaires	Documents des Laboratoires de Géologie de la Faculté des Sciences de Lyon	59	1-86
5208	M. Labracherie	1974	Les bryozoaires dans l'appréciation des climats du Tertiaire	Bulletin de l'Institut de Géologie du Bassin Aquitaine	12	43-46
