name	author	rank
Diaperoecia floridana	(Wyville Thomson, 1858)	Species
Diaperoecia harmeri	(Wyville Thomson, 1858)	Species
Diaperoecia californica	(D'orbigny, 1852)	Species
Plagioeciidae	(Wyville Thomson, 1858)	Family
Plagioecia	(Wyville Thomson, 1858)	Genus
Plagioecia ambigua	(Wyville Thomson, 1858)	Species
Plagioecia grimaldii	(Wyville Thomson, 1858)	Species
Plagioecia patina	(Wyville Thomson, 1858)	Species
Plagioecia dispar	(Wyville Thomson, 1858)	Species
Hastingsiidae	(Wyville Thomson, 1858)	Family
Frondiporidae	Busk, 1886	Family
Filifascigera	(Wyville Thomson, 1858)	Genus
Filifascigera fasciculata	(Wyville Thomson, 1858)	Species
Fasciculiporoides	Kluge, 1955	Genus
Fasciculiporoides americana	(D'orbigny, 1853)	Species
Fasciculipora americana	D'orbigny, 1853	Species
Theonoidae	(Wyville Thomson, 1858)	Family
Mecynoeciidae	(Wyville Thomson, 1858)	Family
Cancellata	(Wyville Thomson, 1858)	Suborder
Horneridae	Smitt, 1867	Family
Cytididae	(Wyville Thomson, 1858)	Family
Petaloporidae	(Wyville Thomson, 1858)	Family
Pseudidmoneidae	(Wyville Thomson, 1858)	Family
Calvetiidae	(Wyville Thomson, 1858)	Family
Stigmatoechidae	Brood, 1972	Family
Stegohorneridae	(Wyville Thomson, 1858)	Family
Stigmatoechos	Marsson, 1887	Genus
Stegohornera	Borg, 1944	Genus
Stigmatoechos violacea	(M. Sars, 1863)	Species
Stigmatoechos arctica	(Kluge, 1946)	Species
Hornera	Lamouroux, 1821	Genus
Hornera	Lamouroux, 1821	Genus
Hornera frondiculata	Lamouroux, 1821	Species
Hornera violacea	(Linnaeus, 1758)	Species
Cerioporina	(Wyville Thomson, 1858)	Suborder
Heteroporidae	Waters, 1880	Family
Heteropora	de Blainville, 1830	Genus
Heteropora alaskensis	(Wyville Thomson, 1858)	Species
Heteropora pacifica	(Wyville Thomson, 1858)	Species
Heteropora magna	(Wyville Thomson, 1858)	Species
Heteropora pelliculata	Waters, 1879	Species
Borgiola	(Wyville Thomson, 1858)	Genus
Borgiola pustulosa	(Wyville Thomson, 1858)	Species
Borgella	Kluge, 1955	Genus
Borgella tumulosa	Kluge, 1955	Species
Corymboporidae	Smitt, 1867	Family
Domopora	D'orbigny, 1850	Genus
Domopora stellata	(Goldfuss, 1827)	Species
Domopora diadema	(Goldfuss, 1827)	Species
Ceriopora diadema	Goldfuss, 1827	Species
Defrancia	Bronn, 1825	Genus
Defrancia clypeata	(Lamouroux, 1821)	Species
Pelagia clypeata	Lamouroux, 1821	Species
Defrancia lucernaria	M. Sars, 1851	Species
Defrancia lucernaria lucernaria	M. Sars, 1851	Subspecies
Defrancia lucernaria prolifera	Kluge, 1946	Subspecies
Tretocycloeciidae	(Wyville Thomson, 1858)	Family
Rectangulata	(Wyville Thomson, 1858)	Suborder
Lichenoporidae	Smitt, 1867	Family
Lichenopora	Defrance, 1823	Genus
Lichenopora canaliculata	(Wyville Thomson, 1858)	Species
Lichenopora verrucaria	(Fabricius, 1780)	Species
Lichenopora hispida	(Fleming, 1828)	Species
Disporella hispida	(Wyville Thomson, 1858)	Species
Lichenopora radiata	(Audouin, 1828)	Species
Lichenopora turbinata	Defrance, 1823	Species
Lichenopora multicentra	Kluge, 1955	Species
Lichenopora sibirica	Kluge, 1955	Species
Lichenopora crassiuscula	(Smitt, 1867)	Species
Disporella	(Wyville Thomson, 1858)	Genus
Disporella alaskensis	(Wyville Thomson, 1858)	Species
Disporella umbellata	(Wyville Thomson, 1858)	Species
Disporella umbellata depressa	(Wyville Thomson, 1858)	Subspecies
Disporella umbellata umbellata	(Wyville Thomson, 1858)	Subspecies
Fungella	Hagenow, 1851	Genus
Fungella dujardini	Hagenow, 1851	Species
Fungella dalli	Kluge, 1955	Species
Cheilostomata	Busk, 1852	Order
Anasca	Levinsen, 1909	Suborder
Aeteidae	Smitt, 1867	Family
Aetea	Lamouroux, 1812	Genus
Aetea anguina	(Linnaeus, 1758)	Species
Aetea truncata	(Wyville Thomson, 1858)	Species
Aetea sica	(Wyville Thomson, 1858)	Species
Aetea recta	(Wyville Thomson, 1858)	Species
Scrupariidae	Busk, 1852	Family
Eucratea	Lamouroux, 1812	Genus
Eucratea loricata	(Linnaeus, 1758)	Species
Sertularia loricata	Linnaeus, 1758	Species
Eucratea loricata loricata	(Linnaeus, 1758)	Subspecies
Eucratea loricata arctica	(Kluge, 1915)	Subspecies
Eucratea loricata cornuta	(Osburn, 1932)	Subspecies
Eucratea loricata macrostoma	(Ortmann, 1890)	Subspecies
Haplota	(Wyville Thomson, 1858)	Genus
Haplota clavata	(Wyville Thomson, 1858)	Species
Scruparia clavata	(Wyville Thomson, 1858)	Species
Scruparia	(Wyville Thomson, 1858)	Genus
Scruparia ambigua	D'orbigny	Species
Scruparia chelata	(Linnaeus, 1758)	Species
Labiostomellidae	(Wyville Thomson, 1858)	Family
Membraniporidae	Busk, 1854	Family
Membranipora	de Blainville, 1830	Genus
Membranipora membranacea	(Linnaeus, 1767)	Species
Flustra membranacea	Linnaeus, 1767	Species
Membranipora pachytheca	(Wyville Thomson, 1858)	Species
Membranipora tenuis	Desor	Species
Membranipora tuberculata	(Bosc, 1802)	Species
Membranipora monostachys	(Wyville Thomson, 1858)	Species
Membranipora aborescens	(Wyville Thomson, 1858)	Species
Membranipora savartii	(Wyville Thomson, 1858)	Species
Membranipora tenella	(Wyville Thomson, 1858)	Species
Membranipora villosa	Hincks, 1880	Species
Conopeum	(Wyville Thomson, 1858)	Genus
Conopeum reticulum	L.	Species
Membranipora lacroixii	(Wyville Thomson, 1858)	Species
Conopeum truitti	Osburn	Species
Conopeum seurati	(Wyville Thomson, 1858)	Species
Conopeum tenuissimum	Canu	Species
Desmacystis	(Wyville Thomson, 1858)	Genus
Desmacystis sandalia	(Wyville Thomson, 1858)	Species
Cupuladria	(Wyville Thomson, 1858)	Genus
Cupuladria canariensis	Busk	Species
Cupuladria doma	(Wyville Thomson, 1858)	Species
Cupuladria biporosa	(Wyville Thomson, 1858)	Species
Ramphonotus	Norman, 1894	Genus
Ramphonotus minax	(Busk, 1860)	Species
Ramphonotus gorbunovi	Kluge, 1946	Species
Larnacicus	Norman, 1903	Genus
Larnacicus corniger	(Busk, 1859)	Species
Membranipora corniger	Busk, 1859	Species
Megapora	Hincks, 1877	Genus
Megapora ringens	(Busk, 1856)	Species
Lepralia ringens	Busk, 1856	Species
Reussina	Kluge, 1962	Genus
Reussina impressa	(Reuss, 1846)	Species
Escharina impressa	Reuss, 1846	Species
Electridae	(Wyville Thomson, 1858)	Family
Electra	Lamouroux, 1816	Genus
Electra crustulenta	(Pallas, 1776)	Species
Membranipora crustulenta	(Pallas, 1776)	Species
Eschara crustulenta	Pallas, 1776	Species
Electra crustulenta arctica	Borg, 1931	Subspecies
Electra crustulenta baltica	Borg, 1931	Subspecies
Electra crustulenta catenularia-similis	Kluge, 1962	Subspecies
Electra crustulenta crustulenta	(Pallas, 1776)	Subspecies
Electra hastingsae	(Wyville Thomson, 1858)	Species
Electra pilosa	(Linnaeus, 1768)	Species
Electra pilosa pilosa	(Linnaeus, 1768)	Subspecies
Electra pilosa dentata	(Ellis and Solander, 1786)	Subspecies
Electra bellula	(Wyville Thomson, 1858)	Species
Electra laciniosa	(Wyville Thomson, 1858)	Species
Electra arctica	(Wyville Thomson, 1858)	Species
Electra verticillata	(Ellis and Solander, 1786)	Species
Flustra verticillata	Ellis and Solander, 1786	Species
Electra catenularia	(Jameson, 1811)	Species
Pyripora	(Wyville Thomson, 1858)	Genus
Pyripora catenularia	(Wyville Thomson, 1858)	Species
Flustridae	Lamouroux, 1821	Family
Flustra	Linnaeus, 1767	Genus
Carbasea	(Wyville Thomson, 1858)	Genus
Flustra carbasea	(Ellis and Solander, 1786)	Species
Carbasea carbasea	Ellis and Solander, 1786	Species
Flustra serrulata	Busk, 1880	Species
Carbasea serrulata	(Busk, 1880)	Species
Flustra foliacea	(Linnaeus, 1758)	Species
Flustra nordenskjoldi	Kluge, 1929	Species
Flustra barleei	Busk, 1860	Species
Flustra securifrons	(Pallas, 1766)	Species
Terminoflustra	(Wyville Thomson, 1858)	Genus
Terminoflustra membranaceo-truncata	(Smitt, 1868)	Species
Flustra membranaceo-truncata	Smitt, 1868	Species
Securiflustra	Silen, 1941	Genus
Securiflustra securifrons	(Pallas, 1766)	Species
Sarsiflustra	Jullien and Calvet, 1903	Genus
Sarsiflustra abyssicola	(G. Sars, 1872)	Species
Hincksinidae	(Wyville Thomson, 1858)	Family
Hincksina	(Wyville Thomson, 1858)	Genus
Hincksina gothica	(Wyville Thomson, 1858)	Species
Cauloramphus	Norman, 1903	Genus
Cauloramphus cymbaeformis	(Hincks, 1877)	Species
Cauloramphus echinus	(Wyville Thomson, 1858)	Species
Cauloramphus spiniferum	(Johnston, 1832)	Species
Flustra spinifera	Johnston, 1832	Species
Cauloramphus intermedius	Kluge, 1962	Species
Aplousina	(Wyville Thomson, 1858)	Genus
Aplousina gigantea	(Wyville Thomson, 1858)	Species
Antropora	(Wyville Thomson, 1858)	Genus
Antropora tincta	(Wyville Thomson, 1858)	Species
Antropora leucocypha	(Wyville Thomson, 1858)	Species
Calloporidae	Norman, 1903	Family
Alderinidae	(Wyville Thomson, 1858)	Family
Callopora	Gray, 1848	Genus
Callopora aurita	(Hincks, 1877)	Species
Callopora craticula	(Alder, 1857)	Species
Callopora craticula craticula	(Alder, 1857)	Subspecies
Callopora craticula sedovi	Kluge, 1962	Subspecies
Callopora exilis	(Wyville Thomson, 1858)	Species
Callopora lineata	(Linnaeus, 1767)	Species
Flustra lineata	Linnaeus, 1767	Species
Callopora whiteavesi	Norman, 1903	Species
Callopora horrida	(Wyville Thomson, 1858)	Species
Callopora dumerilii	(Audouin, 1826)	Species
Callopora smitti	Kluge, 1946	Species
Callopora lata	(Kluge, 1907)	Species
Callopora obesa	Kluge, 1952	Species
Callopora derjugini	(Kluge, 1915)	Species
Callopora circumclathrata	(Hincks, 1877)	Species
Amphiblestrum	Gray, 1848	Genus
Amphiblestrum trifolium	(S. Wood, 1844)	Species
Amphiblestrum trifolium trifolium	(S. Wood, 1844)	Subspecies
Amphiblestrum trifolium guadrata	(Hincks, 1880)	Subspecies
Amphiblestrum flemingi	(Busk, 1854)	Species
Membrainipora flemingi	Busk, 1854	Species
Amphiblestrum osburni	(Wyville Thomson, 1858)	Species
Amphiblestrum septentrionalis	(Kluge, 1906)	Species
Bidenkapia	(Wyville Thomson, 1858)	Genus
Bidenkapia spitsbergensis	(Wyville Thomson, 1858)	Species
Bidenkapia spitsbergensis alaskensis	(Wyville Thomson, 1858)	Subspecies
Bidenkapia spitsbergensis spitsbergensis	(Wyville Thomson, 1858)	Subspecies
Doryporella	Norman, 1903	Genus
Doryporella spathulifera	(Smitt, 1868)	Species
Lepralia spathulifera	Smitt, 1868	Species
Tegella	Levinsen, 1909	Genus
Tegella armifera	(Hincks, 1880)	Species
Tegella arctica	(D'orbigny, 185)	Species
Tegella arctica arctica	(D'orbigny, 185)	Subspecies
Tegella arctica retroversa	Kluge, 1952	Subspecies
Tegella unicornis	(Fleming, 1828)	Species
Membranipora unicornis	(Wyville Thomson, 1858)	Species
Tegella magnipora	(Wyville Thomson, 1858)	Species
Tegella robertsonae	(Wyville Thomson, 1858)	Species
Tegella aquilirostris	(Wyville Thomson, 1858)	Species
Tegella armiferoides	Kluge, 1955	Species
Tegella kildinensis	Kluge, 1955	Species
Tegella spitzbergensis	(Bidenkap, 1897)	Species
Tegella nigrans	(Hincks, 1882)	Species
Tegella anguloavicularis	Kluge, 1952	Species
Tegella inermis	Kluge, 1959	Species
Tegella amissavicularis	(Kluge, 1952)	Species
Tegella norvegica	(Nordgaard, 1918)	Species
Alderina	Norman, 1903	Genus
Alderina smitti	(Wyville Thomson, 1858)	Species
Alderina imbellis	(Hincks, 1860)	Species
Copidozoum	(Wyville Thomson, 1858)	Genus
Copidozoum tenuirostre	(Hincks, 1880)	Species
Parellisina	(Wyville Thomson, 1858)	Genus
Parellisina curvirostris	(Wyville Thomson, 1858)	Species
Parellisina latirostris	(Wyville Thomson, 1858)	Species
Crassimarginatella	Canu, 1900	Genus
Crassimarginatella tuberosa	(Wyville Thomson, 1858)	Species
Aplousina tuberosa	(Wyville Thomson, 1858)	Species
Retevirgula	Brown, 1948	Genus
Retevirgula acuta	(Hincks, 1885)	Species
Chaperiidae	Jullien, 1888	Family
Chaperia	Jullien, 1881	Genus
Chaperia acanthina	(Lamouroux, 1825)	Species
Chaperia quadrispinosa	(Wyville Thomson, 1858)	Species
Chaperia cervicornis	(Wyville Thomson, 1858)	Species
Chaperia spinosissima	(Wyville Thomson, 1858)	Species
Chaperia galeata	(Wyville Thomson, 1858)	Species
Hiantoporidae	Gregory, 1893	Family
Arachnopusiidae	Jullien, 1888	Family
Arachnopodiidae	Of Authors	Family
Exechonella	Duvergier, 1924	Genus
Exechonella antillea	(Wyville Thomson, 1858)	Species
Tremogasterina	(Wyville Thomson, 1858)	Genus
Tremogasterina lanceotata	(Wyville Thomson, 1858)	Species
Tremogasterina muronata	(Wyville Thomson, 1858)	Species
Onychocellidae	Jullien, 1882	Family
Floridina	(Wyville Thomson, 1858)	Genus
Floridina antique	(Wyville Thomson, 1858)	Species
Floridina parvicella	(Wyville Thomson, 1858)	Species
Smittipora	Jullien, 1882	Genus
Smittipora levinseni	(Wyville Thomson, 1858)	Species
Smittipora abyssicola	(Smitt)	Species
Vincularia abyssicola	(Smitt)	Species
Smittipora solida	(Nordgaard, 1907)	Species
Microporidae	Gray, 1948	Family
Micropora	Gray, 1848	Genus
Micropora coriacea	(Johnston, 1847)	Species
Mollia	Lamouroux, 1821	Genus
Mollia potellaria	(Wyville Thomson, 1858)	Species
Selenaria	(Wyville Thomson, 1858)	Genus
Selenaria maculata	(Wyville Thomson, 1858)	Species
Lunulitidae	(Wyville Thomson, 1858)	Family
Lunularidae	(Wyville Thomson, 1858)	Family
Calpensiidae	(Wyville Thomson, 1858)	Family
Microporina	Levinsen, 1909	Genus
Microporina borealis	(Wyville Thomson, 1858)	Species
Microporina articulata	(Fabricius, 1821)	Species
Cellularia articulata	Fabricius, 1821	Species
Discoporella	(Wyville Thomson, 1858)	Genus
Discoporella umbellata	(Wyville Thomson, 1858)	Species
Steginoporellidae	Hincks, 1884	Family
Steginoporella	Smitt, 1873	Genus
Steginoporella magnilabris	(Busk, 1854)	Species
Labiporella	(Wyville Thomson, 1858)	Genus
Labiporella granulosa	(Wyville Thomson, 1858)	Species
Thalamoporellidae	Levinsen, 1909	Family
Thalamoporella	Hincks, 1887	Genus
Thalamoporella falcifer	(Wyville Thomson, 1858)	Species
Thalamoporella california	Levinsen, 1909	Species
Aspidostomatidae	(Wyville Thomson, 1858)	Family
Euritina	(Wyville Thomson, 1858)	Genus
Euritina arctica	(Wyville Thomson, 1858)	Species
Setosellidae	(Wyville Thomson, 1858)	Family
Cothurnicellidae	(Wyville Thomson, 1858)	Family
Alysidiidae	(Wyville Thomson, 1858)	Family
Cellariidae	Lamouroux, 1821	Family
Cellaria	Ellis and Solander, 1786	Genus
Cellaria nodosa	(Wyville Thomson, 1858)	Species
Cellaria fistulosa	(Wyville Thomson, 1858)	Species
Cellaria sinuosa	(Hassall, 1840)	Species
Cellaria diffusa	Robertson, 1905	Species
Euginoma	(Wyville Thomson, 1858)	Genus
Euginoma cavalieri	(Wyville Thomson, 1858)	Species
